,DropoutProp,activationFunction,batchSize,earlyStopping,epochSize,exec_time,hiddenLayers,hiddenNodes,indexID,l1Penalty,learningRate,noFillZero,optimizer,standardizationType,stationIDs,test_mape,test_rmse,timeWindow,train_mape,train_rmse,useHoliday,useWeekday,val_mape,val_rmse,weightInit
1123,0.001,relu,1,True,15,1690.33613396,2,80,1123,1e-06,0.001,True,adam,zscore,13,0.185560924338,15450.462393,160,0.0922827517105,9915.92043408,True,True,0.119198334639,13351.4374318,lecun_uniform
707,0.1419,relu,1,True,15,1407.89323497,2,80,707,1e-06,0.001,True,adam,zscore,13,0.194170982538,15779.6784711,168,0.10417448729,11167.434359,True,True,0.124953794195,13354.3437771,lecun_uniform
1064,0.001,relu,1,True,15,742.841542006,2,80,1064,1e-06,0.001,True,adam,zscore,13,0.18698529972,15728.1714661,101,0.0939381799042,10087.3066733,True,True,0.119873712051,13355.9957627,lecun_uniform
15,0.001,relu,1,True,15,1061.64561987,2,18,15,1e-06,0.001,True,adam,zscore,13,0.191270131611,15960.8884473,168,0.100179952367,10707.2635462,True,True,0.121726499322,13361.3939603,lecun_uniform
34,0.001,relu,1,True,15,940.958272934,2,37,34,1e-06,0.001,True,adam,zscore,13,0.188908091072,15582.3284921,168,0.0956561997991,10101.4459544,True,True,0.121186994793,13362.5302312,lecun_uniform
166,0.001,relu,1,True,15,2371.3882699,2,169,166,1e-06,0.001,True,adam,zscore,13,0.187521276837,15712.0934882,168,0.0945247320951,10297.8057196,True,True,0.119587297891,13364.5203676,lecun_uniform
1079,0.001,relu,1,True,15,770.560472012,2,80,1079,1e-06,0.001,True,adam,zscore,13,0.189438215148,16047.7275004,116,0.0947632095808,10241.8758022,True,True,0.120017531669,13367.6033752,lecun_uniform
1032,0.001,relu,1,True,15,559.946935892,2,80,1032,1e-06,0.001,True,adam,zscore,13,0.185167319215,15884.3644942,69,0.0921041321418,10003.4152338,True,True,0.118076207883,13367.7022135,lecun_uniform
33,0.001,relu,1,True,15,1332.07563901,2,36,33,1e-06,0.001,True,adam,zscore,13,0.188720073008,15765.35263,168,0.0927985519572,9914.60351753,True,True,0.11914249411,13368.8766604,lecun_uniform
173,0.001,relu,1,True,15,1627.56180406,2,176,173,1e-06,0.001,True,adam,zscore,13,0.187086258284,15648.1563869,168,0.0954006504949,10287.2765643,True,True,0.120054910313,13369.4266983,lecun_uniform
334,0.001,relu,1,True,15,4162.07741499,2,337,334,1e-06,0.001,True,adam,zscore,13,0.190759220247,16007.2002442,168,0.0958055303489,10288.444145,True,True,0.120461433956,13371.7809978,lecun_uniform
989,0.001,relu,1,True,15,377.850007057,2,80,989,1e-06,0.001,True,adam,zscore,13,0.187472373336,16116.2523028,26,0.0936151546179,10219.6549042,True,True,0.119189754685,13376.1405748,lecun_uniform
237,0.001,relu,1,True,15,2964.494663,2,240,237,1e-06,0.001,True,adam,zscore,13,0.18629266585,15899.906332,168,0.0952788379087,10289.3036756,True,True,0.12008204644,13377.8733347,lecun_uniform
1024,0.001,relu,1,True,15,568.853227854,2,80,1024,1e-06,0.001,True,adam,zscore,13,0.18674518569,15857.5582566,61,0.0915792274703,9983.17113376,True,True,0.118415226284,13378.8880902,lecun_uniform
1004,0.001,relu,1,True,15,423.683411121,2,80,1004,1e-06,0.001,True,adam,zscore,13,0.186340169042,15786.5253036,41,0.0909810693121,9842.54306852,True,True,0.118618764062,13382.9835797,lecun_uniform
1311,0.001,relu,13,True,15,225.661724806,2,80,1311,1e-06,0.001,True,adam,zscore,13,0.19275677396,15807.7886398,168,0.10128104429,10470.9864619,True,True,0.123843008075,13386.9938895,lecun_uniform
108,0.001,relu,1,True,15,1236.34737301,2,111,108,1e-06,0.001,True,adam,zscore,13,0.186342972879,15719.5313553,168,0.0916652889589,9843.84330041,True,True,0.118467584295,13387.4153391,lecun_uniform
46,0.001,relu,1,True,15,947.855463028,2,49,46,1e-06,0.001,True,adam,zscore,13,0.188348664877,15726.8358015,168,0.0945910343914,10091.2785626,True,True,0.12026182554,13388.166667,lecun_uniform
311,0.001,relu,1,True,15,4172.20493197,2,314,311,1e-06,0.001,True,adam,zscore,13,0.191119378515,15720.1101851,168,0.103339928462,10945.1637594,True,True,0.1238868853,13389.94378,lecun_uniform
44,0.001,relu,1,True,15,974.689019918,2,47,44,1e-06,0.001,True,adam,zscore,13,0.187982954359,15939.7114958,168,0.0954523413473,10386.573415,True,True,0.119979693518,13389.9973311,lecun_uniform
367,0.001,relu,1,True,15,1121.93102789,2,80,367,6.66666666667e-05,0.001,True,adam,zscore,13,0.19232104801,15595.8530468,168,0.102317466962,10839.0624831,True,True,0.123130344442,13391.2483425,lecun_uniform
38,0.001,relu,1,True,15,924.639804125,2,41,38,1e-06,0.001,True,adam,zscore,13,0.184746714616,15644.2016879,168,0.0947112545917,10170.0728603,True,True,0.118878700986,13392.3490725,lecun_uniform
125,0.001,relu,1,True,15,1378.96746993,2,128,125,1e-06,0.001,True,adam,zscore,13,0.184695477679,15631.0209437,168,0.0901294904477,9774.06417647,True,True,0.117602969525,13393.876261,lecun_uniform
292,0.001,relu,1,True,15,2737.10626101,2,295,292,1e-06,0.001,True,adam,zscore,13,0.190377945912,15819.2274586,168,0.0992418279605,10708.8606856,True,True,0.122689387946,13394.4427202,lecun_uniform
1033,0.001,relu,1,True,15,874.808614016,2,80,1033,1e-06,0.001,True,adam,zscore,13,0.187437226207,16010.7986746,70,0.0936561829501,10092.691538,True,True,0.118926783116,13403.059685,lecun_uniform
982,0.001,relu,1,True,15,298.832221985,2,80,982,1e-06,0.001,True,adam,zscore,13,0.186976536936,15893.7292688,19,0.0911254837017,9916.13364513,True,True,0.118502595636,13403.6742792,lecun_uniform
262,0.001,relu,1,True,15,3154.28205085,2,265,262,1e-06,0.001,True,adam,zscore,13,0.186081631775,15645.2431987,168,0.0941172933861,10035.2598406,True,True,0.119882551963,13405.2318336,lecun_uniform
1314,0.001,relu,16,True,15,231.093846083,2,80,1314,1e-06,0.001,True,adam,zscore,13,0.19358391877,15684.2661824,168,0.101249901742,10474.522334,True,True,0.124942189685,13405.9964678,lecun_uniform
964,0.001,relu,1,True,15,305.00704813,2,80,964,1e-06,0.001,True,adam,zscore,13,0.186587336001,16004.4611334,1,0.0900535718032,9808.59082802,True,True,0.117413234591,13408.7644653,lecun_uniform
1017,0.001,relu,1,True,15,515.060288906,2,80,1017,1e-06,0.001,True,adam,zscore,13,0.186485083618,15993.410133,54,0.091405789861,9994.42442261,True,True,0.118163379882,13413.9640294,lecun_uniform
